 ;Child word tokens;Child word types;Child MLU
R2m, R2;R2m = 0.63, R2 = 0.70;R2m = 0.73, R2 = 0.78;R2m = 0.64, R2 = 0.66
Predictor; ; ; 
Intercept;β = 598.42, SE = 22.72, t-stat = 26.33, p < 0.0001;β = 155.51, SE = 4.87, t-stat = 31.95, p < 0.0001;β = 2.24, SE = 0.04, t-stat = 51.70, p < 0.0001
Diagnosis;β = -93.28, SE = 34.19, t-stat = -2.73, p = 0.0089;β = -24.67, SE = 7.30, t-stat = -3.38, p = 0.0013;β = -0.20, SE = 0.07, t-stat = -3.06, p = 0.0029
Mullen expressive language (EL);β = 10.70, SE = 4.55, t-stat = 2.35, p = 0.023;β = 1.72, SE = 0.97, t-stat = 1.77, p = 0.0814;β = 0.03, SE = 0.01, t-stat = 3.09, p = 0.0026
Diagnosis : EL;β = 12.80, SE = 5.50, t-stat = 2.33, p = 0.0247;β = 3.42, SE = 1.18, t-stat = 2.89, p = 0.0056;β = 0.02, SE = 0.01, t-stat = 2.05, p = 0.0431
Child performance in the previous visit (same index as the outcome);β = 0.41, SE = 0.05, t-stat = 8.91, p < 0.0001;β = 3.51, SE = 1.18, t-stat = 2.97, p = 0.0045;β = 0.49, SE = 0.05, t-stat = 9.92, p < 0.0001
Parental word tokens in the previous visit;Not Included;Not Included;Not Included
Parental word types in the previous visit;Not Included;Not Included;Not Included
Parental MLU in the previous visit;β = 88.37, SE = 21.59, t-stat = 4.09, p = 0.0001;β = 17.60, SE = 4.74, t-stat = 3.72, p = 0.0002;β = 0.09, SE = 0.04, t-stat = 1.85, p = 0.0809
Random Effects;Child intercept SD: 95.16;Child intercept SD: 20.65;Child intercept SD: 0.21
;Residual SD: 204.95;Residual SD: 43.34;Residual SD: 0.37
